City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nikolskoye,-22.5685,-52.104,30.36,59,99,0.94,BR,1675022452
84,kaabong,-9.7606,35.5994,17.43,95,1,0.66,TZ,1675022454
85,tunceli,65.3161,-84.87,-30.41,98,100,4.8,CA,1675022455
86,kroya,48.8468,-74.9201,-14.82,80,100,0.68,CA,1675022458
87,port hedland,68.2746,51.82,-11.37,93,89,7.31,RU,1675022459
88,basco,55.4831,99.7532,-9.12,94,100,3.04,RU,1675022466
89,honningsvag,0.7935,36.0655,24.75,39,3,4.83,KE,1675022471
90,iki-burul,50.4413,-116.9257,-9.63,71,8,1.08,CA,1675022506
91,victor harbor,56.3857,-109.4957,-18.41,79,83,3.63,CA,1675022506
92,kahului,2.5753,-49.9216,26.28,80,30,5.33,BR,1675022510
93,grenaa,68.3194,31.859,-10.0,95,80,3.28,RU,1675022514
94,harper,40.0706,49.4352,6.04,75,100,2.61,AZ,1675022515
95,byron bay,61.8418,55.2452,-12.46,93,100,3.83,RU,1675022517
96,villa union,52.5015,-121.1624,-14.62,75,56,0.64,CA,1675022520
97,milkovo,52.0963,-123.3672,-18.63,87,59,0.65,CA,1675022534
98,la ronge,55.1188,14.374,5.08,93,100,15.92,DK,1675022542
99,nizhniy kurkuzhin,40.0654,-99.1905,-13.42,82,100,4.2,US,1675022566
100,bonthe,45.0384,111.8094,-13.85,67,0,2.95,MN,1675022567
101,batangafo,-13.177,-37.4253,27.2,67,0,3.7,BR,1675022575
102,bela,-13.5941,176.8599,28.42,72,28,1.7,FJ,1675022576
103,catuday,41.2074,-117.0783,-7.15,71,88,8.62,US,1675022577
104,cabinda,18.7677,84.0642,18.87,86,1,1.3,IN,1675022577
105,sola,44.334,55.2869,-2.73,80,3,4.4,KZ,1675022579
106,kerema,53.5971,88.5329,-11.24,96,100,2.01,RU,1675022585
107,ahuimanu,20.1549,-96.4146,23.86,83,0,5.77,MX,1675022615
108,gurgan,28.6553,44.1922,16.42,44,61,2.68,SA,1675022617
109,mumford,52.0439,129.9239,-37.47,100,63,1.26,RU,1675022629
110,birjand,36.3181,24.7547,13.35,63,100,8.55,GR,1675022632
111,broken hill,47.5318,56.9997,-5.25,64,22,3.5,KZ,1675022634
112,grenada,71.6485,-36.0025,-35.72,96,100,4.88,GL,1675022636
113,mount gambier,65.3182,148.7562,-22.32,92,100,2.58,RU,1675022638
114,barentsburg,69.1896,28.1976,-10.68,91,90,5.36,FI,1675022639
115,haapiti,50.9376,132.9616,-37.13,100,77,0.72,RU,1675022653
116,guerrero negro,42.9062,42.3379,-8.44,96,100,0.68,GE,1675022656
117,gayeri,38.6644,102.3586,-4.17,27,1,1.68,CN,1675022661
118,ust-kuyga,66.0154,-166.5815,-11.15,98,92,6.38,US,1675022681
119,los lunas,54.5528,134.335,-33.17,95,23,2.63,RU,1675022682
120,clyde,-51.6946,-70.8557,12.65,56,100,7.48,AR,1675022685
121,porto novo,40.8184,142.9429,-2.0,76,100,2.08,JP,1675022686
122,sawakin,18.8845,-73.8111,26.29,60,28,3.36,HT,1675022687
123,cayenne,59.8966,-45.3841,-1.45,74,100,3.38,GL,1675022689
124,el dorado,-31.9091,152.1134,20.78,100,100,0.51,AU,1675022689
125,ancud,48.8988,-69.8317,-17.05,87,100,2.06,CA,1675022690
126,manokwari,24.7787,24.3844,16.2,33,3,6.15,LY,1675022690
127,kudahuvadhoo,-10.6304,24.4054,16.81,96,91,1.13,ZM,1675022692
128,nabire,3.1186,48.2583,25.78,75,6,9.58,SO,1675022696
129,tiarei,53.31,59.3561,-10.36,100,98,1.41,RU,1675022696
130,hohhot,41.6401,-98.6753,-14.1,87,100,3.82,US,1675022698
131,lata,33.3238,-1.2951,3.06,50,6,2.9,DZ,1675022699
132,aksarka,2.5449,103.612,23.43,96,100,3.89,MY,1675022701
133,gorkovskoye,10.1593,41.6478,22.72,63,2,5.19,ET,1675022702
134,harvard,-0.8216,15.9718,23.65,81,90,1.77,CG,1675022710
135,svetlogorsk,-43.3963,168.1274,19.74,71,7,2.35,NZ,1675022717
136,turukhansk,-14.6079,-139.1985,26.85,74,87,7.33,PF,1675022721
137,catamarca,17.0726,-72.2795,25.67,79,87,12.04,DO,1675022726
138,klyuchi,51.7222,-111.9776,-18.75,75,67,3.13,CA,1675022736
